txid,bookingdate,issuercountrycode,txvariantcode,bin,amount,currencycode,shoppercountrycode,shopperinteraction,simple_journal,cardverificationcodesupplied,cvcresponsecode,creationdate,accountcode,mail_id,ip_id,card_id
42,2015-12-08 19:58:36,MX,mccredit,557910,95900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-03 22:51:26,MexicoAccount,email146808,ip77056,card253893
43,2015-11-23 16:34:56,MX,mccredit,520416,103900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-04 08:51:51,MexicoAccount,email205214,ip66724,card213179
44,2015-12-08 19:58:36,MX,visadebit,441545,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-04 10:51:24,MexicoAccount,email136002,ip66496,card77403
45,2015-11-23 16:34:52,MX,visagold,477213,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-05 03:37:29,MexicoAccount,email92803,ip69307,card248056
46,2015-12-08 19:58:36,MX,mccredit,522174,74900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-05 17:47:45,MexicoAccount,email21032,ip70586,card134288
47,2016-01-13 21:18:35,MX,visaclassic,477291,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-06 02:45:48,MexicoAccount,email72344,ip81354,card222807
48,2015-11-23 16:34:30,MX,mccredit,520416,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-06 19:11:23,MexicoAccount,email334864,ip80629,card99997
49,2015-11-09 14:27:05,MX,visadebit,416916,59800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-08 02:54:30,MexicoAccount,email92748,ip80156,card63236
50,2015-12-08 19:58:36,MX,mccredit,547146,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-08 05:05:08,MexicoAccount,email51862,ip78633,card239579
51,2015-12-08 19:58:36,MX,visaclassic,477291,119940,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-10 04:06:38,MexicoAccount,email45468,ip79970,card66367
52,2015-11-23 16:34:34,MX,visaclassic,477291,119940,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-10 05:56:18,MexicoAccount,email152900,ip79974,card67358
53,2015-11-23 16:34:38,MX,mccredit,554629,119900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-10 22:56:19,MexicoAccount,email15408,ip53370,card74661
54,2015-11-23 16:34:52,MX,mccredit,547046,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-12 07:13:38,MexicoAccount,email346968,ip66157,card33244
55,2015-11-12 13:16:35,MX,mccredit,554629,39900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-12 21:01:35,MexicoAccount,email110639,ip111251,card40390
56,2015-11-23 16:34:52,MX,visaclassic,477291,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-13 03:28:00,MexicoAccount,email272807,ip112324,card271123
57,2015-12-08 19:58:37,MX,mccredit,520416,29900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-13 23:12:41,MexicoAccount,email254473,ip79224,card170352
58,2015-11-23 16:33:59,MX,visaplatinum,477214,174600,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-15 10:00:25,MexicoAccount,email45467,ip79967,card229586
59,2015-12-08 19:58:37,MX,visaclassic,493161,183900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-18 02:27:22,MexicoAccount,email260038,ip77098,card171137
60,2015-11-09 14:26:26,MX,mccredit,535875,79800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-18 17:25:32,MexicoAccount,email346417,ip113577,card110464
61,2015-11-12 13:16:35,MX,visaclassic,455500,399900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-20 00:15:57,MexicoAccount,email110975,ip67308,card255653
62,2015-11-09 14:26:14,MX,visaclassic,418080,83900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-20 05:59:27,MexicoAccount,email65572,ip81994,card14537
63,2015-11-23 16:34:52,MX,mccredit,554629,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-20 06:03:54,MexicoAccount,email153790,ip55320,card250241
64,2015-11-12 13:16:35,MX,visaclassic,477291,199900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-20 21:30:33,MexicoAccount,email92808,ip69940,card130901
65,2015-11-09 14:27:39,MX,visaclassic,477291,41900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-22 05:38:51,MexicoAccount,email309212,ip114017,card136478
66,2015-11-23 16:34:16,MX,visaclassic,477291,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-22 07:56:33,MexicoAccount,email164007,ip110536,card119514
67,2015-11-23 16:34:10,MX,visaclassic,477291,153900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-25 20:01:25,MexicoAccount,email205408,ip61472,card34327
68,2015-11-23 16:34:29,MX,visaclassic,477291,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-27 01:03:43,MexicoAccount,email115383,ip112402,card108146
69,2015-11-09 14:26:24,MX,visaplatinum,477214,79900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-27 09:22:33,MexicoAccount,email221682,ip85090,card184037
70,2015-11-12 13:16:36,MX,visadebit,421316,329900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-27 20:58:24,MexicoAccount,email92612,ip66236,card17825
71,2015-11-23 16:34:24,MX,visagold,477213,139900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-28 01:20:29,MexicoAccount,email85746,ip79980,card79066
72,2015-11-12 13:16:36,MX,visaclassic,420199,189900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-28 05:35:09,MexicoAccount,email85714,ip84052,card195152
73,2015-11-12 13:16:36,MX,visaclassic,420199,184800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-28 07:28:50,MexicoAccount,email85745,ip79997,card180625
74,2015-11-12 13:16:36,MX,visaplatinum,477214,189800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-30 02:37:52,MexicoAccount,email85684,ip84133,card185007
75,2016-03-03 21:08:09,MX,mccredit,528843,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-31 19:24:53,MexicoAccount,email125640,ip67696,card212019
76,2015-12-08 19:58:37,MX,visaplatinum,477214,182800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-31 23:11:09,MexicoAccount,email85716,ip79978,card88606
77,2015-12-08 19:58:37,MX,visaclassic,455545,169800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-02 00:54:20,MexicoAccount,email343416,ip67927,card159223
78,2015-11-23 16:34:16,MX,visagold,477213,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-02 18:21:15,MexicoAccount,email342107,ip69950,card221724
79,2015-12-08 19:58:37,MX,visaplatinum,477214,169900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-02 22:26:06,MexicoAccount,email343941,ip84116,card42364
80,2015-12-08 19:58:37,MX,visaplatinum,477214,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-03 19:03:00,MexicoAccount,email85707,ip84062,card255267
81,2016-01-13 21:18:35,MX,visaclassic,493161,101915,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-03 19:58:22,MexicoAccount,email268902,ip64814,card206924
82,2015-11-23 16:34:06,MX,visaplatinum,477214,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-03 20:52:38,MexicoAccount,email85715,ip84114,card3922
83,2015-12-08 19:58:37,MX,mccredit,528843,45400,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-03 22:56:57,MexicoAccount,email143141,ip78380,card243564
84,2015-12-08 19:58:38,MX,visaplatinum,477214,159800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-04 00:14:57,MexicoAccount,email85708,ip84112,card225953
85,2015-11-09 14:26:32,MX,visagold,477213,74900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-04 05:32:20,MexicoAccount,email342107,ip69950,card221724
86,2015-11-23 16:34:00,MX,mccredit,547046,169900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-05 08:35:31,MexicoAccount,email148527,ip6336,card108294
87,2015-11-23 16:34:10,MX,mccredit,554629,153900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-06 08:33:14,MexicoAccount,email26019,ip81756,card211757
88,2015-11-23 16:34:24,MX,mccredit,547092,139900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-06 22:22:14,MexicoAccount,email120246,ip84100,card100858
89,2015-11-12 13:16:37,MX,mccredit,547092,199800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-07 01:56:45,MexicoAccount,email120247,ip84105,card17736
90,2015-11-12 13:16:37,MX,mccredit,547046,239800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-07 04:50:01,MexicoAccount,email76886,ip82698,card75270
91,2015-12-08 19:58:38,MX,visagold,477213,189800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-09 06:28:25,MexicoAccount,email269684,ip113860,card97365
92,2015-12-08 19:58:38,MX,visaclassic,493161,309800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-09 18:34:34,MexicoAccount,email110710,ip79744,card136291
93,2015-12-08 19:58:38,MX,visaclassic,493161,274700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-09 18:43:37,MexicoAccount,email110710,ip79744,card136291
94,2016-01-13 21:18:35,MX,visaclassic,493172,289700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-09 22:17:30,MexicoAccount,email231311,ip84355,card7845
95,2015-12-08 19:58:38,MX,visagold,455255,89900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-11 08:53:49,MexicoAccount,email265992,ip42080,card177780
96,2015-12-08 19:58:38,MX,visaclassic,477291,269800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-14 18:43:10,MexicoAccount,email91755,ip68258,card135102
97,2015-11-09 14:26:09,MX,visaclassic,417849,89700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-18 00:02:48,MexicoAccount,email51810,ip111247,card23089
98,2015-12-08 19:58:39,MX,visadebit,421316,59900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-18 01:24:44,MexicoAccount,email85705,ip81717,card227836
99,2016-03-03 22:44:28,MX,visaclassic,493172,279700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-18 07:56:11,MexicoAccount,email288922,ip71405,card154659
100,2015-11-09 14:26:25,MX,mccredit,549138,79900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-19 04:31:06,MexicoAccount,email222155,ip111631,card174087
101,2015-11-09 14:25:51,MX,visadebit,421316,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-19 05:36:05,MexicoAccount,email13251,ip69300,card216473
102,2015-12-08 19:58:39,MX,visaclassic,405306,29900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-21 02:24:16,MexicoAccount,email53604,ip6330,card184406
103,2015-12-08 19:58:39,MX,visaplatinum,477214,179900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-23 05:09:42,MexicoAccount,email275978,ip84096,card146232
104,2015-12-08 19:58:39,MX,visaclassic,477291,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-25 16:23:12,MexicoAccount,email265812,ip80399,card155689
105,2016-01-13 21:18:35,MX,mccredit,522174,318410,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-27 07:36:06,MexicoAccount,email221715,ip111746,card248970
106,2015-12-08 19:58:39,MX,visadebit,421316,89900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-30 00:27:04,MexicoAccount,email304364,ip61168,card262777
107,2015-12-08 19:58:39,MX,visagold,455255,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-09-30 01:07:37,MexicoAccount,email108304,ip111936,card79672
108,2015-12-08 19:58:40,MX,visagold,455255,114700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-02 22:49:17,MexicoAccount,email85147,ip67995,card155682
109,2015-12-08 19:58:40,MX,mccredit,535875,118915,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-02 23:51:08,MexicoAccount,email192255,ip113030,card216685
110,2016-01-13 21:18:35,MX,visaclassic,477291,39900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-05 07:29:06,MexicoAccount,email42127,ip82460,card24142
111,2015-12-08 19:58:40,MX,mccredit,528851,89900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-06 06:32:04,MexicoAccount,email217440,ip79964,card149558
112,2016-01-13 21:18:36,MX,mccredit,545631,139800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-07 00:19:48,MexicoAccount,email172798,ip112422,card243668
113,2016-03-03 21:08:11,MX,visaclassic,405306,239700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-08 01:28:42,MexicoAccount,email328674,ip70031,card254539
114,2015-12-08 19:58:40,MX,mccredit,528843,199900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-09 03:41:13,MexicoAccount,email153861,ip63010,card26256
115,2016-03-03 21:08:11,MX,visagold,455255,149800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-09 18:48:32,MexicoAccount,email60290,ip69262,card2468
116,2016-01-13 21:18:36,MX,mccredit,547146,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-09 22:13:40,MexicoAccount,email187379,ip67556,card114996
117,2015-12-08 19:58:40,MX,visaclassic,477291,329900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-10 02:29:57,MexicoAccount,email55291,ip68304,card37090
118,2016-03-03 22:44:37,MX,visaplatinum,493158,174800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-10 11:09:57,MexicoAccount,email112275,ip111351,card78455
119,2015-12-08 19:58:40,MX,visadebit,421316,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-10 23:51:01,MexicoAccount,email74363,ip61645,card223620
120,2016-01-13 21:18:36,MX,visaclassic,477291,59700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-12 04:39:17,MexicoAccount,email252368,ip110376,card159508
121,2016-01-13 21:18:36,MX,mccredit,547046,89800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-12 06:54:28,MexicoAccount,email221921,ip84110,card125915
122,2016-01-13 21:18:36,MX,mcdebit,525678,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-12 18:54:35,MexicoAccount,email108296,ip60803,card253717
123,2015-12-08 19:58:40,MX,mccredit,547046,90900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-12 23:38:39,MexicoAccount,email156322,ip84107,card141251
124,2015-12-08 19:58:41,MX,mccredit,547146,90900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-13 03:46:31,MexicoAccount,email167269,ip84055,card47657
125,2015-12-08 19:58:41,MX,mccredit,547046,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-13 17:02:30,MexicoAccount,email85711,ip84077,card181658
126,2016-01-13 21:18:36,MX,mccredit,547046,59900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-14 04:22:28,MexicoAccount,email14753,ip79973,card97051
127,2015-12-08 19:58:41,MX,mccredit,547146,59900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-16 00:05:44,MexicoAccount,email161735,ip79982,card79549
128,2015-12-08 19:58:41,MX,visaclassic,477291,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-16 08:03:19,MexicoAccount,email108296,ip60803,card24100
129,2016-03-03 22:44:31,MX,mccredit,548234,679800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-16 21:53:47,MexicoAccount,email137532,ip82400,card25147
130,2016-01-13 21:18:36,MX,mccredit,549138,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-17 02:46:47,MexicoAccount,email8082,ip84440,card181005
131,2016-01-13 21:18:37,MX,visagold,493173,109800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-17 21:25:54,MexicoAccount,email105900,ip113820,card187058
132,2016-03-03 22:44:32,MX,mccredit,547096,149800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-17 23:58:05,MexicoAccount,email20206,ip67405,card207056
133,2015-12-08 19:58:41,MX,visabusiness,493136,154700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-19 04:17:39,MexicoAccount,email39688,ip81993,card246819
134,2016-01-13 21:18:37,MX,mccredit,557907,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-20 03:08:21,MexicoAccount,email28923,ip76777,card2659
135,2015-12-08 19:58:41,MX,mccredit,547046,64900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-20 04:28:27,MexicoAccount,email13943,ip84050,card155533
136,2016-01-13 21:18:37,MX,mccredit,520416,93415,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-20 19:24:03,MexicoAccount,email84864,ip82577,card260257
137,2016-01-13 21:18:37,MX,mcdebit,525678,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-20 21:21:46,MexicoAccount,email15321,ip75919,card103775
138,2016-01-13 21:18:37,MX,mccredit,547046,139900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-21 03:55:55,MexicoAccount,email289996,ip111852,card270982
139,2016-01-13 21:18:37,MX,mccredit,547046,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-23 03:02:52,MexicoAccount,email253448,ip112333,card4898
140,2016-01-13 21:18:37,MX,mccredit,549138,139900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-23 04:27:25,MexicoAccount,email8082,ip84440,card181005
141,2016-01-13 21:18:38,MX,visaclassic,410180,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-24 07:55:58,MexicoAccount,email331934,ip60803,card98836
142,2015-12-08 19:58:42,MX,visagold,477213,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-24 08:51:58,MexicoAccount,email270250,ip71523,card173766
143,2016-03-03 22:44:32,MX,mccredit,544548,139900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-24 16:32:51,MexicoAccount,email103772,ip64902,card38381
144,2016-01-13 21:18:38,MX,visagold,477213,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-24 18:45:12,MexicoAccount,email60461,ip84083,card123714
145,2016-01-13 21:18:38,MX,visaclassic,494133,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-24 21:33:48,MexicoAccount,email14465,ip66864,card78167
146,2016-03-03 21:08:10,MX,visadebit,415231,69900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-25 18:10:22,MexicoAccount,email307885,ip76115,card268077
147,2016-01-13 21:18:38,MX,mccredit,528851,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-26 04:48:57,MexicoAccount,email61935,ip79969,card231152
148,2016-01-13 21:18:38,MX,visadebit,415231,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-26 05:01:42,MexicoAccount,email48898,ip81448,card156186
149,2016-01-13 21:18:38,MX,visagold,477213,579800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-26 05:56:53,MexicoAccount,email333839,ip69072,card61615
150,2016-03-03 22:44:36,MX,visaclassic,493172,87900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-27 07:53:49,MexicoAccount,email217154,ip68002,card145021
151,2016-01-13 21:18:38,MX,mccredit,549138,67915,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-30 06:00:20,MexicoAccount,email331934,ip60803,card238456
152,2016-01-13 21:18:38,MX,visaclassic,410180,659800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-31 00:20:32,MexicoAccount,email55291,ip68076,card52726
